index,brand,model,cores,base_clock,boost_clock,integrated_graphics,multithreading,price
0,AMD,2650,2,"{'cycles': 1450000000}",NULL,"Radeon HD 8240",0,NULL
1,AMD,3850,4,"{'cycles': 1300000000}",NULL,"Radeon HD 8280",0,NULL
2,AMD,5150,4,"{'cycles': 1600000000}",NULL,"Radeon HD 8400",0,NULL
3,AMD,5350,4,"{'cycles': 2049999999}",NULL,"Radeon HD 8400",0,NULL
4,AMD,5350,4,"{'cycles': 2049999999}",NULL,"Radeon HD 8400",0,NULL
5,AMD,A10-5700,4,"{'cycles': 3400000000}",NULL,"Radeon HD 7660D",0,NULL
6,AMD,A10-5800K,4,"{'cycles': 3800000000}",NULL,"Radeon HD 7660D",0,NULL
7,AMD,A10-6700,4,"{'cycles': 3700000000}",NULL,"Radeon HD 8670D",0,NULL
8,AMD,A10-6700T,4,"{'cycles': 2500000000}","{'cycles': 3500000000}","Radeon HD 8650D",0,NULL
9,AMD,A10-6790B,4,"{'cycles': 4000000000}",NULL,"Radeon HD 8670D",0,NULL
10,AMD,A10-6790K,4,"{'cycles': 4000000000}","{'cycles': 4300000000}","Radeon HD 8670D",0,NULL
11,AMD,A10-6800B,4,"{'cycles': 4099999999}","{'cycles': 4400000000}","Radeon HD 8670D",0,NULL
12,AMD,A10-6800K,4,"{'cycles': 4099999999}",NULL,"Radeon HD 8670D",0,NULL
13,AMD,A10-7700K,4,"{'cycles': 3400000000}","{'cycles': 3800000000}","Radeon R7 (on-die)",0,NULL
14,AMD,A10-7700K,4,"{'cycles': 3400000000}","{'cycles': 3800000000}","Radeon R7 (on-die)",0,NULL
15,AMD,A10-7800,4,"{'cycles': 3500000000}","{'cycles': 3900000000}","Radeon R7 (on-die)",0,NULL
16,AMD,A10-7850K,4,"{'cycles': 3700000000}","{'cycles': 4000000000}","Radeon R7 (on-die)",0,NULL
17,AMD,A10-7850K,4,"{'cycles': 3700000000}","{'cycles': 4000000000}","Radeon R7 (on-die)",0,NULL
18,AMD,A10-7860k,4,"{'cycles': 3600000000}","{'cycles': 4000000000}","Radeon R7 (on-die)",0,NULL
19,AMD,A10-7870K,4,"{'cycles': 3900000000}","{'cycles': 4099999999}","Radeon R7 (on-die)",0,NULL
20,AMD,A10-7890K,4,"{'cycles': 4099999999}","{'cycles': 4300000000}","Radeon R7 (on-die)",0,NULL
21,AMD,A10-9700,4,"{'cycles': 3500000000}","{'cycles': 3800000000}","Radeon R7 (on-die)",0,NULL
22,AMD,A10-9700E,4,"{'cycles': 3000000000}","{'cycles': 3500000000}","Radeon R7 (on-die)",0,NULL
23,AMD,A12-9800,4,"{'cycles': 3800000000}","{'cycles': 4200000000}","Radeon R7 (on-die)",0,NULL
24,AMD,A12-9800E,4,"{'cycles': 3100000000}","{'cycles': 3800000000}","Radeon R7 (on-die)",0,NULL
25,AMD,A4-3300,2,"{'cycles': 2500000000}",NULL,"Radeon HD 6410D",0,NULL
26,AMD,A4-3300,2,"{'cycles': 2500000000}",NULL,"Radeon HD 6410D",0,NULL
27,AMD,A4-3400,2,"{'cycles': 2700000000}",NULL,"Radeon HD 6410D",0,NULL
28,AMD,A4-3400,2,"{'cycles': 2700000000}",NULL,"Radeon HD 6410D",0,NULL
29,AMD,A4-3420,2,"{'cycles': 2800000000}",NULL,"Radeon HD 6410D",0,NULL
30,AMD,A4-3450,2,"{'cycles': 2900000000}",NULL,NULL,0,NULL
31,AMD,A4-4000,2,"{'cycles': 3000000000}",NULL,"Radeon HD 7480D",0,NULL
32,AMD,A4-4000,2,"{'cycles': 3000000000}",NULL,"Radeon HD 7480D",0,NULL
33,AMD,A4-4020,2,"{'cycles': 3200000000}","{'cycles': 3400000000}","Radeon HD 7480D",0,NULL
34,AMD,A4-5300,2,"{'cycles': 3400000000}",NULL,"Radeon HD 7480D",0,NULL
35,AMD,A4-5300,2,"{'cycles': 3400000000}",NULL,"Radeon HD 7480D",0,NULL
36,AMD,A4-6300,2,"{'cycles': 3700000000}","{'cycles': 3900000000}","Radeon HD 8370D",0,NULL
