index,brand,model,chipset,vram,core_clock,boost_clock,color,length,price
0,AMD,100-505724,"FirePro W7100","{'total': 8000000000}","{'cycles': 824000000}",NULL,"Black / Red",279,NULL
1,AMD,100-505841,"FirePro 2450","{'total': 500000000}","{'cycles': 600000000}",NULL,"Black / Red",170,NULL
2,AMD,100-505956,"Radeon Pro WX 8200","{'total': 8000000000}","{'cycles': 1200000000}","{'cycles': 1530000000}",Blue,267,NULL
3,AMD,100-505957,"Radeon Pro WX 9100","{'total': 16000000000}","{'cycles': 1200000000}","{'cycles': 1500000000}",Blue,267,NULL
4,AMD,100-505989,"FirePro W9100","{'total': 32000000000}","{'cycles': 930000000}",NULL,"Black / Red",275,NULL
5,AMD,100-505999,"Radeon Pro WX 3100","{'total': 4000000000}","{'cycles': 925000000}","{'cycles': 1219000000}",Blue,145,NULL
6,AMD,100-506001,"Radeon Pro WX 2100","{'total': 2000000000}","{'cycles': 925000000}","{'cycles': 1219000000}",Blue,145,NULL
7,AMD,100-506048,"Radeon Pro Duo Polaris","{'total': 32000000000}","{'cycles': 1243000000}",NULL,Blue,305,NULL
8,AMD,100-506061,"Vega Frontier Edition","{'total': 16000000000}","{'cycles': 1440000000}","{'cycles': 1600000000}","Blue / Gold",267,NULL
9,AMD,100-506062,"Vega Frontier Edition Liquid","{'total': 16000000000}","{'cycles': 1500000000}","{'cycles': 1600000000}","Gold / Blue",267,NULL
10,AMD,100-506085,"Radeon Pro W5700","{'total': 8000000000}","{'cycles': 1243000000}","{'cycles': 1930000000}","Blue / Silver",267,NULL
11,AMD,100-506095,"Radeon Pro W5500","{'total': 8000000000}","{'cycles': 1354000000}","{'cycles': 1900000000}","Blue / White",241.3,NULL
12,AMD,100-506115,"Radeon Pro WX 3200","{'total': 4000000000}","{'cycles': 1250000000}","{'cycles': 1290000000}","Blue / Black",167.64,NULL
13,AMD,100-506163,"Radeon Pro VII","{'total': 16000000000}","{'cycles': 1400000000}","{'cycles': 1700000000}","Blue / Silver",305,NULL
14,AMD,310455937500,"Radeon HD 6770","{'total': 1000000000}",NULL,NULL,NULL,NULL,NULL
15,AMD,"FirePro 2270","FirePro 2270","{'total': 1000000000}","{'cycles': 600000000}",NULL,"Black / Red",170,NULL
16,AMD,"FirePro 2270","FirePro 2270","{'total': 500000000}","{'cycles': 600000000}",NULL,"Black / Red",170,NULL
17,AMD,"FirePro 2270","FirePro 2270","{'total': 500000000}","{'cycles': 600000000}",NULL,"Black / Red",170,NULL
18,AMD,"FirePro 2450","FirePro 2450","{'total': 500000000}","{'cycles': 600000000}",NULL,"Black / Red",170,NULL
19,AMD,"FirePro 2460","FirePro 2460","{'total': 500000000}",NULL,NULL,"Black / Red",NULL,NULL
20,AMD,"FirePro 2460","FirePro 2460","{'total': 500000000}","{'cycles': 600000000}",NULL,"Black / Red",170,NULL
21,AMD,"FirePro R5000","FirePro R5000","{'total': 2000000000}","{'cycles': 825000000}",NULL,"Black / Red",279,NULL
22,AMD,"FirePro RG220A","FirePro RG220A","{'total': 500000000}","{'cycles': 500000000}",NULL,"Black / Red",168,NULL
23,AMD,"FirePro S7000","FirePro S7000","{'total': 4000000000}","{'cycles': 950000000}",NULL,"Black / Silver",292,NULL
24,AMD,"FirePro S9050","FirePro S9050","{'total': 12000000000}","{'cycles': 900000000}",NULL,"Black / Silver",254,NULL
25,AMD,"FirePro S9150","FirePro S9150","{'total': 16000000000}","{'cycles': 900000000}",NULL,"Black / White",267,NULL
26,AMD,"FirePro V3900","FirePro V3900","{'total': 1000000000}","{'cycles': 650000000}",NULL,"Black / Red",168,NULL
